Term,Type,Ontology,Synonyms,Definition,GeneratedDefinition,Examples,Explanations,Maturity
security form,Class,Securities Issuance Ontology,,nature of the proof of ownership of a security,Security form is a kind of contract document. It applies to some security. It realizes some financial asset.,,,Release
security identification scheme,Class,Securities Identification Ontology,,formal definition of the structure and application of a particular set of securities identifiers,"Security identification scheme is a kind of financial instrument identification scheme, registration scheme. It defines some security identifier.",,,Release
security identifier,Class,Securities Identification Ontology,,any publicly available identifier that is used to identify a security,Security identifier is a kind of financial instrument identifier. It identifies some security. It is defined in some security identification scheme.,,,Release
security issuance guarantor,Class,IssuanceProcess,,,Security issuance guarantor is a kind of securities issuance process actor. It is issuance guarantor some securities issuance process.,,,Provisional
security lifecycle status,Class,SecurityTradingStatuses,,status of a security within its lifecycle ,Security lifecycle status is a kind of lifecycle status. It classifies some security.,,,Provisional
security offering distribution method,Class,IssuanceProcess,,The distribution type of a securities Offering. ,Security offering distribution method is a kind of distribution strategy.,,,Provisional
security offering distribution type,Datatype,Securities Issuance Ontology,,"the type of distribution for a securities offering, including (1) primary offering - the original sale of a company's securities, in which the proceeds from the sale are received directly by the company, and (2) secondary offering - an offering of a security that has been issued previously",,,,Release
security offering sale method,Class,IssuanceProcess,,Method for sale of a new security offering. ,Security offering sale method is a kind of sales strategy.,,,Provisional
security price,Class,Instrument Pricing Ontology,,monetary price for a financial instrument at some point in time ,Security price is a kind of monetary price. It has observed date and time at least zero combined date time. It has pricing source at least zero that publisher or composite market or pricing model or exchange or dealer or financial service provider. It is price for some security.,,,Release
security registry,Class,Securities Identification Ontology,,registry used to manage security identifiers and related information,Security registry is a kind of registry. It has registry entry some security registry entry. It is characterized by exactly one security identification scheme. It is managed by some registration authority.,,,Release
security registry entry,Class,Securities Identification Ontology,,record for a security in a securities registry,Security registry entry is a kind of registry entry. It applies to some registered security. It comprises some security identifier.,,,Release
security retirement,Class,Financial Context and Process Ontology,,,Security retirement is a kind of Thing. It is retirement of some security.,,,Provisional
security trading status,Class,SecurityTradingStatuses,,"status of the security in terms of whether it is trading or not, and any special considerations relating to trading ",Security trading status is a kind of lifecycle status. It classifies some security.,,,Provisional
security underlier,Class,Security-Based Derivatives Ontology,,"underlier consisting of security-based assets, such as baskets of securities, individual securities, reference indices, and combinations thereof",Security underlier is a kind of underlier. It has identity at least zero that security or reference index or basket of securities.,,,Release
security underwriter,Class,Securities Issuance Ontology,,"party that has purchased from an issuer with a view to, or sells for an issuer in connection with, the distribution of any security, or participates or has a direct or indirect participation in any such undertaking, or participates or has a participation in the direct or indirect underwriting of any such undertaking","Security underwriter is a kind of contract third party, third-party agent, underwriter. It is played by some that is a party to some securities offering. It is played by some that is a party to some security underwriting arrangement.",,,Release
security underwriting arrangement,Class,Securities Issuance Ontology,,underwriting agreement between an organization (typically an investment bank) and a securities issuer that commits the underwriter to assuming risk involved in buying a new issue of securities and reselling it to the public,Security underwriting arrangement is a kind of underwriting arrangement. It has party in role some security underwriter.,,,Release
security-based derivative,Class,Security-Based Derivatives Ontology,,"derivative instrument whose underlier is based on a security, including collections of securities and indices based on securities",Security-based derivative is a kind of derivative instrument. It has underlier some security underlier.,,,Release
self-regulating organization,Class,Financial Services Entities Ontology,,non-governmental organization that has the power to create and exercise some degree of regulatory authority over an industry or profession in some country or group of countries,Self-regulating organization is a kind of regulatory agency. It has identity some non-governmental organization.,,,Release
seller,Class,Products and Services Ontology,purveyor vendor,"party that makes, offers or contracts to make a sale to an actual or potential buyer",Seller is a kind of party in role. It sells some product.,,,Release
sells,Object Property,Products and Services Ontology,,"links a party in the role of broker, dealer, vendor, or merchandiser to something that they make available for sale",Sells is a kind of topObjectProperty.,,,Release
sells to,Object Property,Products and Services Ontology,,"links a party in the role of broker, dealer, vendor, or merchandiser to a purchaser or potential purchasing party",Sells to is a kind of acts on.,,,Release
semi annual reporting policy,Class,Collective Investment Vehicles Ontology,,Reports are presented twice a year. ,Semi annual reporting policy is a kind of reporting frequency policy.,,,Provisional
senior c d o tranche,Class,Collateralized Debt Obligations Ontology,,"The most senior tranche of the CDO issue. Typically rated A to AAA. If there are defaults or the CDO's collateral otherwise underperforms, scheduled payments to senior tranches take precedence over those of mezzanine tranches. ","Senior c d o tranche is a kind of collateralized debt obligation, tranche. It rated at issue some tranche rating at issue.",,,Provisional
senior m b s tranche,Class,Collateralized Debt Obligations Ontology,,Specific kinds of tranche are modeled for example and investigation only and have been removed from the diagrams. These will be removed from the final model. ,Senior m b s tranche is a kind of tranched m b s instrument. It senior to some mezzanine m b s tranche.,,,Provisional
senior to,Object Property,Collateralized Debt Obligations Ontology,,Specific kinds of tranche are modeled for example and investigation only and have been removed from the diagrams. These will be removed from the final model. ,Senior to is a kind of cashflow precedence.,,,Provisional
seniority,Object Property,Collateralized Debt Obligations Ontology,,"The seniority which defines this tranche. This is the precedence order for scheduled payments. Further notes: Tranches are categorized as senior, mezzanine, and subordinated/equity, according to their degree of credit risk. If there are defaults or the CDO's collateral otherwise underperforms, scheduled payments to senior tranches take precedence over those of mezzanine tranches, and scheduled payments to mezzanine tranches take precedence over those to subordinated/equity tranches. Senior and mezzanine tranches are typically rated, with the former receiving ratings of A to AAA and the latter receiving ratings of B to BBB. The ratings reflect both the credit quality of underlying collateral as well as how much protection a given tranch is afforded by tranches that are subordinate to it. ",Seniority is a kind of topObjectProperty.,,,Provisional
seniority,Data Property,Collateralized Debt Obligations Ontology,,"The seniority which defines this tranche. This is the precedence order for scheduled payments. This is Mezzanine, meaning the tranche between senior and subordinated. ",Seniority is a kind of topDataProperty.,,,Provisional
seniority,Data Property,Collateralized Debt Obligations Ontology,,"The seniority which defines this tranche. This is the precedence order for scheduled payments. This is defined as Senior, i.e. this is the most senior tranche of the CDO issue. ",Seniority is a kind of topDataProperty.,,,Provisional
seniority,Data Property,Collateralized Debt Obligations Ontology,,The seniority which defines this tranche. This is the precedence order for scheduled payments. This is subordinated (also known as equity) and is the most junior tranche in the CDO issue. ,Seniority is a kind of topDataProperty.,,,Provisional
seniority,Data Property,Collateralized Debt Obligations Ontology,,"The seniority which defines this tranche. This is the precedence order for scheduled payments. This is defined as Senior, i.e. this is the most senior tranche of the CDO issue. ",Seniority is a kind of topDataProperty.,,,Provisional
series,Data Property,IssuanceProcess,,Uniquely identified collection of securities within an Issue with same Expected Closing Date. The text gives the Series Identifier within the Issuance process. There may be one or more Series within one Issue. ,Series is a kind of topDataProperty.,,,Provisional
series,Data Property,IssuanceProcess,,Series identification for the individual Traded Financial Security. ,Series is a kind of topDataProperty.,,,Provisional
service,Class,Products and Services Ontology,,intangible activity performed by some party for the benefit of another party,Service is a kind of Thing. It is provided by some service provider. It is provisioned by at least zero service provider. It provides some capability.,"Services include intangible products, such as accounting, banking, cleaning, consultancy, education, insurance, expertise, medical treatment, or transportation services.",,Release
service agreement,Class,Products and Services Ontology,service contract,"written contract between a client and service provider whereby the service provider supplies some service in the form of time, effort, and/or expertise in exchange for compensation","Service agreement is a kind of mutual contractual agreement, written contract. It governs some service. It has contract party exactly one service provider.",,,Release
service provider,Class,Products and Services Ontology,,"party that provides and typically provisions professional services, such as consulting, financial, legal, real estate, education, communications, storage, or processing services, to other parties, typically defined in a service agreement","Service provider is a kind of functional entity, thing-in-role. It provides some service. It provisions at least zero facility. It provisions at least zero service.",,,Release
service resource,Class,Commodities Contracts Ontology,,"negotiable commodity involving services such as transportation, communications, and trade ",Service resource is a kind of negotiable commodity.,,,Release
servicer,Class,MuniIssuance,,,Servicer is a kind of Thing. It services some securities underwriting issuance process.,,,Provisional
servicer,Class,Loans Ontology,,party that collects principal and interest payments on behalf of the lender,"Servicer is a kind of contract third party, financial service provider.",,,Release
services,Object Property,MuniIssuance,,,Services is a kind of topObjectProperty.,,,Provisional
set price,Class,Equities IPO Issuance Ontology,,,Set price is a kind of initial public offering process step.,,,Provisional
sets out contractual economic commitment,Object Property,REA Transactions Ontology,,The economic commitment set out in the terms to the contract which formalizes the agreement to the transaction. ,Sets out contractual economic commitment is a kind of topObjectProperty.,,,Informative
settlement,Class,Settlement Ontology,,"act of finalizing a transaction, including but not limited to finalizing accounting, exchanging consideration, and/or legally recording documents, as applicable",Settlement is a kind of occurrence kind.,,,Release
settlement auction,Class,Credit Default Swaps Ontology,,independently administered synthetic auction process on a set of defined deliverable obligations that sets the reference final price that can be used to facilitate cash settlement of all covered transactions following a credit event ,Settlement auction is a kind of settlement event.,,,Release
settlement convention,Class,Settlement Ontology,,"convention employed to determine the closing date (from the stated settlement date) in the process of settling a transaction on which securities or interests in securities are delivered, usually against (in simultaneous exchange for) payment of some consideration",Settlement convention is a kind of convention. It has numeric value some positiveInteger.,,,Release
settlement date rule,Class,Parametric Schedules Ontology,,a rule for determining dates by reference to some calendar or specification of settlement dates,Settlement date rule is a kind of business recurrence interval convention.,,,Release
settlement event,Class,Settlement Ontology,,"specific event involving the finalization a transaction or portion thereof, including but not limited to finalizing accounting, exchanging consideration, and/or legally recording documents, as applicable",Settlement event is a kind of occurrence. It exemplifies exactly one settlement. It has price at least zero security price. It involves at least zero value assessment.,,,Release
settlement of allocated shares,Class,Equities IPO Issuance Ontology,,,Settlement of allocated shares is a kind of initial public offering process step.,,,Provisional
settlement process,Class,Securities Transactions Ontology,,,Settlement process is a kind of Thing.,,,Informative
settlement terms,Class,Financial Products and Services Ontology,,contract terms that define the commitment to and mechanism for settling one or more sides of a transaction,Settlement terms is a kind of contractual commitment. It applies to some settlement. It has settlement date only date. It has settlement method some delivery method. It specifies some settlement convention.,,,Release
share,Class,Equity Instruments Ontology,,"financial instrument that signifies a unit of equity ownership in a corporation, or a unit of ownership in a mutual fund, or interest in a general or limited partnership, or a unit of ownership in a structured product, such as a real estate investment trust ",Share is a kind of equity instrument. It confers ownership of some shareholders' equity. It has floating shares at least zero nonNegativeInteger. It has share class at least zero string. It has share payment status some share payment status. It has shares authorized some nonNegativeInteger. It has shares issued at least zero nonNegativeInteger. It has shares outstanding at least zero nonNegativeInteger. It has treasury shares at least zero nonNegativeInteger. It has voting restriction at least zero string. It number of votes per share some decimal.,,,Release
share issuer,Class,Equity Instruments Ontology,,issuer of securities that represent an ownership interest in something,Share issuer is a kind of issuer. It issues some share.,,,Release
share payment status,Class,Equity Instruments Ontology,,classifier that specifies the overall payment status for shares issued,Share payment status is a kind of lifecycle status. It classifies some share.,,,Release
share register,Class,Equities IPO Issuance Ontology,,,Share register is a kind of registry.,,,Provisional
share underwriter,Object Property,Equities IPO Issuance Ontology,,,Share underwriter is a kind of topObjectProperty.,,,Provisional
share yield,Class,Equity Instruments Ontology,dividend yield  dividend-price ratio ,ratio of the annualized dividend per share divided by the (current) price per share ,Share yield is a kind of yield. It has some argument that is that security price or ordinary dividend.,,,Release
shareholder,Class,Corporate Ownership Ontology,stockholder -us,"party that owns shares in and has rights and responsibilities with respect to some asset, provided in exchange for investment","Shareholder is a kind of constitutional owner, counterparty.",,,Release
shareholders' equity,Class,Accounting Equity Ontology,,"equity that is manifested in the form of shares in an entity, fund or structured product ",Shareholders' equity is a kind of owners' equity.,,,Release
shareholding,Class,Corporate Ownership Ontology,,financial asset that takes the form of shares considered as a unit,Shareholding is a kind of financial asset. It is held by only shareholder.,,,Release
shares premium dividend action,Class,Security-related Corporate Actions Ontology,,corporate action that pays shareholders an amount in cash issued from the shares premium reserve ,Shares premium dividend action is a kind of mandatory with choice corporate action.,,,Provisional
shares premium dividend action,Individual,Security-related Corporate Actions Ontology,,corporate action that pays shareholders an amount in cash issued from the shares premium reserve ,,,,Provisional
shoal,Individual,U.S. Postal Service Addresses Individuals Ontology,,,,,,Release
shoals,Individual,U.S. Postal Service Addresses Individuals Ontology,,,,,,Release
shore,Individual,U.S. Postal Service Addresses Individuals Ontology,,,,,,Release
shores,Individual,U.S. Postal Service Addresses Individuals Ontology,,,,,,Release
short mini-future certificate,Class,Rights and Warrants Ontology,,mini-future certificate that entitles the holder to acquire cash in exchange for specific underlying assets ,Short mini-future certificate is a kind of mini-future certificate.,,,Release
short sale locate,Class,Financial Context and Process Ontology,,,Short sale locate is a kind of pre trade.,,,Provisional
short term credit rating,Class,Credit Ratings Ontology,,credit rating that provides an opinion of the probability of an individual or organization going into default within a year ,Short term credit rating is a kind of investment credit rating.,,,Provisional
side,Individual,Addresses Ontology,,"place, space, or direction with respect to a center or to a line of division",,,,Release
sigma value of holdings,Class,FundsTemporal,,,Sigma value of holdings is a kind of Thing.,,,Provisional
signatory,Class,Executives Ontology,,"responsible party authorized to sign agreements on behalf of themselves, another person, or an organization","Signatory is a kind of authorized party, legally delegated authority. It is played by some that has capacity some signatory capacity.",,,Release
signatory capacity,Class,Legal Capacity Ontology,,the capacity of some natural person to sign agreements on the part of some organization or legal person,Signatory capacity is a kind of legal capacity.,,,Release
signature required,Data Property,Collective Investment Vehicles Ontology,,Whether a phsyical form with the investor's written signature is required through the main fund order desk. Yes:A phsyical form with the investor's written signature is required through the main fund order desk. ,Signature required is a kind of topDataProperty.,,,Provisional
significant shareholder,Class,Corporate Control Ontology,,party that owns a significant voting stake in an organization that is less than 50 percent but greater than some threshold,Significant shareholder is a kind of voting shareholder.,,,Release
simple return leg,Class,Swaps Ontology,,"return leg based strictly on the income generated by the underlying asset, excluding appreciation, decrease in value, capital gains, and fees on any increase in value ",Simple return leg is a kind of return leg.,,,Release
simple yield calculation method,Class,Debt Analytics Ontology,,The annual rate of return expressed as a percentage. This is the return divided by the outlay and multiplied by 100 to express the figure as a percentage. ,Simple yield calculation method is a kind of yield calculation method. It has argument some dirty price.,,,Provisional
simulated by,Object Property,SyntheticCDOs,,The underlying CDS which is created to mechanise the cash flows in the synthetic portfolio. ,Simulated by is a kind of topObjectProperty.,,,Provisional
simulates,Object Property,SyntheticCDOs,,,Simulates is a kind of topObjectProperty.,,,Provisional
simulates,Object Property,SyntheticCDOs,,,Simulates is a kind of topObjectProperty.,,,Provisional
single currency interest rate swap,Class,Interest Rate Swaps Ontology,,interest rate swap in which the two streams of interest payments are in the same currency,Single currency interest rate swap is a kind of interest rate swap. It specifies exactly one currency.,,,Release
single family,Individual,Mortgage Loans Ontology,,1-4 units,,,,Provisional
single monthly mortality,Class,Pool-backed Securities Ontology,,estimated per-month percentage of mortgages in an MBS pool that will be paid off early ,"Single monthly mortality is a kind of debt pool statistical measure, percentage.",,,Release
single name credit default swap,Class,Credit Default Swaps Ontology,,"credit default swap whose underlying risk is a single reference obligation, or a single reference entity, such as a corporation or a sovereign borrower ",Single name credit default swap is a kind of credit default swap.,,,Release
single voting share,Class,Equity Instruments Ontology,,share that has the right to exactly one vote ,Single voting share is a kind of share. It number of votes per share value 1.,,,Release
sinking fund amortization terms,Class,Bonds Ontology,,terms for the paydown of principal in a sinking fund type of amortizing security,Sinking fund amortization terms is a kind of bond amortization payment terms. It is mandatory exactly one boolean.,,,Release
site,Class,Facilities Ontology,,"place, setting, or context in which something, such as a facility, is situated",Site is a kind of thing-in-role. It has address at least zero address. It is located at exactly one location. It is played by some that situates some Thing.,"Examples include a structure or building, an archeological dig, the landing location for an aircraft or spacecraft, and the site of a wound. A given site may accommodate multiple facilities.",,Release
site built,Individual,Construction Loans Ontology,,"describes construction process, indicating that most elements are created at the homes permanent site. May include some prefabricated components",,,,Provisional
situates,Object Property,Facilities Ontology,,"indicates the place, setting, or context in which something is placed",Situates is a kind of topObjectProperty.,,,Release
situation,Class,Parties Ontology,,"setting, state of being, or relationship that that is relatively stable for some period of time",Situation is a kind of Thing. It has actor some actor. It has undergoer at least zero undergoer. It holds during at least zero date period.,"Examples include ownership, control, possession, affiliation, beneficiary, and other similar relations.",,Release
six months,Individual,Interest Rates Ontology,,"duration of exactly six months, regardless of the length in days of a given calendar month, but typically 30 days",,,,Release
sixty months,Individual,Interest Rates Ontology,,"duration of exactly sixty months, regardless of the length in days of a given calendar month, but typically 30 days",,,,Release
skyway,Individual,U.S. Postal Service Addresses Individuals Ontology,,,,,,Release
slip,Individual,Addresses Ontology,,sloping ramp extending out into the water to serve as a place for landing or repairing ships; ship's or boat's berth between two piers,,,,Release
small business loan,Individual,Loan Products Ontology,,,,,,Provisional
smart card,Class,Card Accounts Ontology,,payment card that has integrated circuits embedded within it,Smart card is a kind of payment card.,,,Release
soft credit event,Class,Credit Events Ontology,,default event that is repairable ,Soft credit event is a kind of default event.,,,Release
soft credit inquiry,Individual,Credit Ratings Ontology,,,,,,Provisional
soft retractable preferred share,Class,Equity Instruments Ontology,,"retractable preferred share whose retraction value may be paid in cash or in an equal value of common stock of the issuer, at the option of the issuer",Soft retractable preferred share is a kind of retractable preferred share.,,,Release
sole controlling party,Class,Control Parties Ontology,,party that has sole control over and directs the affairs of some legal entity,Sole controlling party is a kind of entity controlling party.,,,Release
sole proprietor,Class,Sole Proprietorships Ontology,sole owner sole trader,"party that owns a business, has the rights to all profits from that business and is considered a single entity (unincorporated) together with that business for tax and liability purposes",Sole proprietor is a kind of entity owner. It has identity exactly one legally competent natural person. It has investment entity some sole proprietorship. It is played by some that owns and controls some sole proprietorship.,,,Release
sole proprietorship,Class,Sole Proprietorships Ontology,,unincorporated business owned by a single person,"Sole proprietorship is a kind of business entity, legal person. It has capacity some liability capacity. It is owned and controlled by exactly one legally competent natural person.",,,Release
sovereign bond,Class,Bonds Ontology,,bond issued by the government of a country,"Sovereign bond is a kind of government bond, sovereign debt instrument.",,,Release
sovereign debt instrument,Class,Bonds Ontology,,debt security issued by the government of a country,Sovereign debt instrument is a kind of government issued debt security. It is issued by some that is played by some sovereign state.,,,Release
sovereign state,Class,Government Entities Ontology,,non-physical juridical entity that is represented by one centralized government that has sovereignty over a geographic area,Sovereign state is a kind of polity. It has full sovereignty over some country. It is represented by some national government.,,,Release
sovereign state of Georgia,Individual,Western Asia Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Georgia,,,,Release
sovereign wealth fund,Class,Funds Ontology,social wealth fund  sovereign investment fund ,state-owned investment fund that consists of pools of money derived from a country's reserves ,Sovereign wealth fund is a kind of collective investment vehicle.,,,Release
space,Individual,Addresses Ontology,,"extent set apart or available, such as a parking or storage space",,,,Release
spanish yield calculation method,Class,Debt Analytics Ontology,,The method used in determining annual yield in Spanish corporate bonds. ,Spanish yield calculation method is a kind of yield calculation method.,,,Provisional
special assessment bond,Class,Bonds Ontology,,municipal bond used to fund a development project that is payable from the revenues of an assessment (tax) on the community that is intended to benefit from the project,"Special assessment bond is a kind of municipal bond, secured bond.",,,Release
special dividend,Class,Equity Instruments Ontology,,dividend that is paid to shareholders on a one-time basis,Special dividend is a kind of dividend.,,,Release
special dividend leg terms,Class,Equity Swaps Ontology,,terms that are invoked if special dividend and memorial dividends are applicable ,Special dividend leg terms is a kind of cashflow terms.,,,Release
special obligation bond,Class,Bonds Ontology,,"bond secured by a limited revenue source, such as receipts derived from a designated project",Special obligation bond is a kind of municipal bond.,,,Release
special purpose vehicle,Class,Legal Persons Ontology,special purpose entity ,"legal entity created to fulfill narrow, specific, and frequently temporary objectives ",Special purpose vehicle is a kind of legal entity. It holds some collective investment vehicle. It is set up for some funds creation. It is set up for some s p v purpose.,,,Release
special tax bond,Class,Bonds Ontology,,bond secured by revenues derived from designated taxes other than ad valorem taxes,"Special tax bond is a kind of municipal bond, secured bond.","For example, bonds for a particular purpose might be supported by sales, cigarette, fuel or business license taxes.",,Release
specialist mortgage issuer,Class,Mortgage-backed Securities Ontology,,A business organization that specialises in and exists for the issuance of mortgages to the general public. ,Specialist mortgage issuer is a kind of functional business entity.,,,Provisional
specializes,Object Property,Quantities and Units Ontology,,indicates something whose nature is more general (broader than) the subject,Specializes is a kind of topObjectProperty.,,,Release
specific-provider interest rate benchmark,Class,Interest Rates Ontology,,interest rate benchmark that is made available by a specific market data provider for reference purposes,Specific-provider interest rate benchmark is a kind of interest rate benchmark. It is provided by exactly one market data provider.,,,Release
specified date,Class,Financial Dates Ontology,,calculated date that is defined by a rule that is captured as a string by the 'hasDateSpecification' property,Specified date is a kind of calculated date. It has date specification exactly one string.,,,Release
specified indebtedness,Data Property,Derivatives Master Agreements Ontology,,"Any obligation (whether present or future, contingent or otherwise, as principal or surety or otherwise) in respect of borrowed money. May not include obligations in respect of deposits received in the ordinary course of a party’s banking business. FpML: In Schedule: ""Specified Indebtedness"" will have the meaning specified in Section 14 except that such term shall not include obligations in respect of deposits received in the ordinary course of a party’s banking business. Section 14: ""Specified Indebtedness"" means, subject to the Schedule, any obligation (whether present or future, contingent or otherwise, as principal or surety or otherwise) in respect of borrowed money. Modeling note: Could extend this to have a yes/no option on the exclusion described in the Schedule to the sample Master Agreement ",Specified indebtedness is a kind of topDataProperty.,,,Provisional
specifies,Object Property,Registration Authorities Ontology,,states a fact about something,Specifies is a kind of topObjectProperty.,,,Release
specifies,Object Property,Collateralized Debt Obligations Ontology,,,Specifies is a kind of topObjectProperty.,,,Provisional
specifies,Object Property,Collateralized Debt Obligations Ontology,,,Specifies is a kind of topObjectProperty.,,,Provisional
specifies conversion date,Object Property,Equity Instruments Ontology,,"indicates the date on which, or after which, conversion may occur",Specifies conversion date is a kind of topObjectProperty.,,,Release
specifies conversion into,Object Property,Securities Issuance Ontology,,specifies a security that will replace a convertible security under the terms of the agreement,Specifies conversion into is a kind of topObjectProperty.,,,Release
specifies reverse trigger,Object Property,Collateralized Debt Obligations Ontology,,,Specifies reverse trigger is a kind of topObjectProperty.,,,Provisional
specifies trigger,Object Property,Collateralized Debt Obligations Ontology,,"The event which, when it takes place, causes the Jump Z holders to begin receiving payments. ",Specifies trigger is a kind of topObjectProperty.,,,Provisional
spin off,Class,Corporate Actions Ontology,,corporate action involving the distribution of subsidiary stock to the shareholders of the parent company without a surrender of shares ,Spin off is a kind of divestiture.,,,Release
spin off,Individual,Corporate Actions Ontology,,corporate action involving the distribution of subsidiary stock to the shareholders of the parent company without a surrender of shares ,,,,Release
sponsor,Class,Equities IPO Issuance Ontology,,,Sponsor is a kind of party in role. It may be some corporate broker.,,,Provisional
sponsored depositary receipt,Class,Depositary Receipts,,depositary receipt that is issued in collaboration with the foreign company enabling them to tap into international capital markets directly ,Sponsored depositary receipt is a kind of American depositary receipt.,,,Release
spot contract,Class,Financial Instruments Ontology,,financial instrument that settles for immediate delivery on a specified date ,Spot contract is a kind of financial instrument.,,,Release
spring,Individual,U.S. Postal Service Addresses Individuals Ontology,,,,,,Release
springs,Individual,U.S. Postal Service Addresses Individuals Ontology,,,,,,Release
spur,Individual,U.S. Postal Service Addresses Individuals Ontology,,,,,,Release
spurs,Individual,U.S. Postal Service Addresses Individuals Ontology,,,,,,Release
square,Individual,U.S. Postal Service Addresses Individuals Ontology,,,,,,Release
squares,Individual,U.S. Postal Service Addresses Individuals Ontology,,,,,,Release
stable outlook,Individual,Credit Ratings Ontology,,,,,,Provisional
stake in fund,Class,Collective Investment Vehicles Ontology,,"The holding of some portion in a fund, by some party. This stake will generally tak ethe form of some sort of unit in that fund. ",Stake in fund is a kind of position. It gives ownership of some collective investment vehicle. It identified as some fund unit.,,,Provisional
standalone group,Individual,GLEIF Corporate Action Individuals Ontology,,"GLEIF classifier for corporate actions that are single, standalone events rather than a combination of multiple events ",,,,Provisional
standard deviation,Class,Analytics Ontology,,square root of variance that measures the spread or dispersion around the mean of a data set,Standard deviation is a kind of dispersion. It has some argument that is that mean or variance.,,,Release
standard industrial classification code,Class,Business Registries Ontology,,the SIC code representing an industry,"Standard industrial classification code is a kind of code element, industry sector classifier. It classifies some formal organization. It has tag exactly one string. It is defined in exactly one standard industrial classification scheme.",,,Release
standard industrial classification scheme,Class,Business Registries Ontology,,the scheme defining the Standard Industrial Classification (SIC) Code List,"Standard industrial classification scheme is a kind of code set, industry sector classification scheme. It defines some standard industrial classification code.",,,Release
standardized address,Class,U.S. Postal Service Addresses Ontology,,"delivery address that is fully spelled out, abbreviated by using the Postal Service standard abbreviations or as given in the current Postal Service ZIP+4 file",Standardized address is a kind of physical address.,,,Release
standardized futures listing terms,Class,Futures and Forwards Ontology,,contract terms established by a derivatives exchange that apply to any listing of a futures contract on that exchange. ,"Standardized futures listing terms is a kind of derivative terms, standardized terms. It applies to some listing. It has publisher some designated contract market.",,,Release
standardized futures terms,Class,Futures and Forwards Ontology,,contract terms established by a derivatives exchange that apply to any futures contract traded on that exchange ,"Standardized futures terms is a kind of derivative terms, standardized terms. It applies to some future. It specifies some settlement terms.",,,Release
standardized options terms,Class,Options Ontology,,standardized contract terms established by a securities or options exchange or by an options clearing entity ,Standardized options terms is a kind of standardized terms. It applies to some vanilla option. It has price determination method some price determination method. It has some publisher that is that derivatives clearing organization or exchange.,,,Release
standardized terms,Class,Financial Instruments Ontology,,"contract terms that, grouped together, that are generally and consistently reused across many contracts, published by some organization, and capable of being incorporated into a contract by reference",Standardized terms is a kind of contractual commitment.,"Each exchange has a set of terms they apply to membership agreements and with respect to the instruments that may be traded on that exchange. For example, there is a set expiration date that exchanges will publish for exchange-traded options - in the US it is the Saturday following the third Friday of every month. Similarly, there are set incremental dates for strike for exchange traded options. Contract sizes are also stipulated, for example in the US these are standardized by the OPRA Convention (Options Pricing Reporting Authority).",,Release
state agency of foreign banking organization,Class,US Financial Services Entities Ontology,,"agency of a foreign bank established and operating under the laws of any state, where state means any State of the United States or the District of Columbia",State agency of foreign banking organization is a kind of agency of a foreign banking organization.,,,Release
state branch of foreign banking organization,Class,US Financial Services Entities Ontology,,"branch of a foreign bank located in any State of the United States at which deposits are received, established and operating under the laws of that State, where state means any State of the United States or the District of Columbia",State branch of foreign banking organization is a kind of domestic branch of a foreign bank.,,,Release
state credit union,Class,US Financial Services Entities Ontology,,credit union that has a state affiliation,State credit union is a kind of U.S. credit union. It is classified by value NIC entity type classifier SCU.,,,Release
state government entity or agency,Class,US Regulatory Agencies Ontology,,"formal organization that is an independent agency, instrumentality or other permanent or semi-permanent organization in the machinery of government of any one of the states or territories of the United States",State government entity or agency is a kind of government body. It government agency or government department or instrumentality or regional sovereignty. It has some jurisdiction that is that has reach some that country subdivision and that is a subregion of value United States of America that the.,,,Release
state member bank,Class,US Regulatory Agencies Ontology,,state-chartered bank that is a member of the Federal Reserve System (FRS),"State member bank is a kind of Federal Reserve System member, state-chartered bank. It is classified by value NIC entity type classifier SMB.",,,Release
state of Afghanistan,Individual,Southern Asia Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Afghanistan,,,,Release
state of Armenia,Individual,Western Asia Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Armenia,,,,Release
state of Azerbaijan,Individual,Western Asia Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Azerbaijan,,,,Release
state of Bahrain,Individual,Western Asia Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Bahrain,,,,Release
state of Bangladesh,Individual,Southern Asia Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Bangladesh,,,,Release
state of Bhutan,Individual,Southern Asia Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Bhutan,,,,Release
state of Brunei,Individual,Southeastern Asia Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Brunei,,,,Release
state of Cambodia,Individual,Southeastern Asia Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Cambodia,,,,Release
state of China,Individual,Eastern Asia Government Entities and Jurisdictions Ontology,,sovereign state and polity that is China,,,,Release
state of Cyprus,Individual,Western Asia Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Cyprus,,,,Release
state of India,Individual,Southern Asia Government Entities and Jurisdictions Ontology,,federated sovereignty and polity that is India,,,,Release
state of Indonesia,Individual,Southeastern Asia Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Indonesia,,,,Release
state of Iran,Individual,Southern Asia Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Iran,,,,Release
